month,town,flat_type,storey_range,floor_area_sqm,flat_model,remaining_lease,resale_price,Score,region,storey_range_numeric
2017-11,BUKIT MERAH,3 ROOM,10 TO 12,71.0,Standard,51.17,321000.0,41.11532427,Central,11
2022-02,BISHAN,4 ROOM,04 TO 06,104.0,Model A,69.5,610000.0,43.24173166,Central,5
2022-07,TOA PAYOH,4 ROOM,10 TO 12,103.0,Model A,60.5,505000.0,40.05359393,Central,11
2022-02,QUEENSTOWN,4 ROOM,10 TO 12,90.0,Model A,83.92,750000.0,46.68598262,Central,11
2019-03,TOA PAYOH,3 ROOM,04 TO 06,65.0,Improved,53.33,275000.0,49.83261371,Central,5
2021-05,QUEENSTOWN,3 ROOM,07 TO 09,64.0,Standard,48.08,355888.0,32.7335408,Central,8
2021-03,QUEENSTOWN,2 ROOM,04 TO 06,46.0,Standard,44.83,243000.0,31.70727946,Central,5
2024-01,BUKIT MERAH,3 ROOM,04 TO 06,74.0,Model A,60.17,458000.0,38.50160781,Central,5
2017-10,BUKIT MERAH,3 ROOM,07 TO 09,76.0,Improved,57.25,385000.0,50.47709157,Central,8
2020-09,CENTRAL AREA,3 ROOM,16 TO 18,60.0,Improved,65.08,468000.0,54.752885,Central,17
2019-03,BUKIT MERAH,5 ROOM,04 TO 06,137.0,Model A,74.83,860000.0,56.08610044,Central,5
2021-04,BUKIT MERAH,3 ROOM,01 TO 03,55.0,Standard,49.33,226000.0,40.25752047,Central,2
2017-04,BISHAN,4 ROOM,01 TO 03,95.0,DBSS,93.42,705000.0,43.03290578,Central,2
2022-07,BUKIT MERAH,4 ROOM,01 TO 03,98.0,New Generation,55.08,530000.0,51.70667077,Central,2
2020-01,KALLANG/WHAMPOA,3 ROOM,07 TO 09,63.0,Simplified,65.0,355000.0,53.91650649,Central,8
2020-04,TOA PAYOH,3 ROOM,07 TO 09,65.0,Improved,52.25,260000.0,49.83261371,Central,8
2022-12,BUKIT MERAH,4 ROOM,07 TO 09,84.0,Simplified,62.92,628000.0,46.06185691,Central,8
2023-10,TOA PAYOH,3 ROOM,16 TO 18,62.0,Improved,45.25,385000.0,49.62445981,Central,17
2023-08,QUEENSTOWN,2 ROOM,10 TO 12,47.0,Standard,44.5,274000.0,31.79150823,Central,11
2021-06,TOA PAYOH,3 ROOM,01 TO 03,60.0,Standard,45.08,260000.0,44.4708464,Central,2
2017-11,TOA PAYOH,4 ROOM,13 TO 15,106.0,Model A,76.42,620000.0,43.39534506,Central,14
2018-10,TOA PAYOH,3 ROOM,01 TO 03,65.0,Improved,52.25,283500.0,51.81776957,Central,2
2021-09,BUKIT MERAH,4 ROOM,13 TO 15,93.0,Model A,94.75,823000.0,43.01288961,Central,14
2023-06,BISHAN,3 ROOM,10 TO 12,65.0,Improved,49.42,345000.0,49.83261371,Central,11
2020-08,QUEENSTOWN,4 ROOM,28 TO 30,83.0,Premium Apartment,95.0,830888.0,42.45264051,Central,29
2018-09,KALLANG/WHAMPOA,3 ROOM,01 TO 03,53.0,Standard,51.33,220000.0,40.14843948,Central,2
2020-08,CENTRAL AREA,3 ROOM,10 TO 12,74.0,Model A,62.83,383000.0,52.48676367,Central,11
2017-09,BUKIT MERAH,3 ROOM,07 TO 09,53.0,Standard,50.83,268000.0,42.1187512,Central,8
2023-11,CENTRAL AREA,3 ROOM,10 TO 12,68.0,Improved,56.58,525000.0,55.11498829,Central,11
2023-01,KALLANG/WHAMPOA,EXECUTIVE,01 TO 03,140.0,Apartment,64.0,895000.0,46.13096884,Central,2
2017-05,BUKIT MERAH,5 ROOM,13 TO 15,115.0,Improved,83.17,838000.0,54.97527435,Central,14
2024-09,BUKIT MERAH,4 ROOM,01 TO 03,91.0,New Generation,60.25,708000.0,42.42879625,Central,2
2020-09,QUEENSTOWN,4 ROOM,13 TO 15,96.0,Model A,79.08,700000.0,42.92416078,Central,14
2020-11,BISHAN,5 ROOM,04 TO 06,139.0,Model A,70.5,715000.0,45.15064903,Central,5
2024-06,BUKIT MERAH,4 ROOM,16 TO 18,93.0,Model A,93.58,935000.0,43.02773375,Central,17
2018-01,KALLANG/WHAMPOA,3 ROOM,04 TO 06,70.0,DBSS,92.0,575000.0,48.66939338,Central,5
2023-01,QUEENSTOWN,3 ROOM,22 TO 24,65.0,Premium Apartment,92.33,680000.0,33.47091158,Central,23
2018-03,TOA PAYOH,4 ROOM,37 TO 39,91.0,DBSS,93.08,823000.0,42.82958794,Central,38
2022-10,QUEENSTOWN,3 ROOM,04 TO 06,65.0,Improved,53.67,400000.0,46.89199025,Central,5
2017-08,TOA PAYOH,3 ROOM,13 TO 15,63.0,Improved,51.42,315000.0,49.6790003,Central,14
2017-12,KALLANG/WHAMPOA,3 ROOM,16 TO 18,65.0,Improved,54.58,310000.0,37.83261371,Central,17
2023-05,TOA PAYOH,4 ROOM,01 TO 03,82.0,Improved,52.08,435000.0,38.80433455,Central,2
2018-12,BUKIT MERAH,4 ROOM,10 TO 12,99.0,Model A,82.08,510000.0,40.11747054,Central,11
2020-12,KALLANG/WHAMPOA,3 ROOM,04 TO 06,62.0,Model A,82.58,455000.0,59.12916045,Central,5
2020-08,BUKIT MERAH,5 ROOM,13 TO 15,118.0,Standard,56.92,655000.0,47.79748069,Central,14
2019-05,TOA PAYOH,3 ROOM,10 TO 12,77.0,Improved,61.42,312500.0,41.60585275,Central,11
2022-04,QUEENSTOWN,3 ROOM,04 TO 06,65.0,Improved,54.17,348000.0,46.89199025,Central,5
2017-08,TOA PAYOH,3 ROOM,19 TO 21,68.0,Improved,53.42,360000.0,44.98139106,Central,20
2020-04,QUEENSTOWN,4 ROOM,34 TO 36,83.0,Premium Apartment,95.08,900000.0,34.45264051,Central,35
2024-08,BISHAN,4 ROOM,04 TO 06,83.0,Simplified,62.42,680000.0,42.02216055,Central,5
2017-09,KALLANG/WHAMPOA,3 ROOM,10 TO 12,66.0,Improved,62.08,360000.0,44.99106316,Central,11
2019-12,TOA PAYOH,3 ROOM,07 TO 09,66.0,Improved,49.58,200000.0,44.84262179,Central,8
2021-04,QUEENSTOWN,4 ROOM,07 TO 09,107.0,Model A,74.58,640000.0,43.46472969,Central,8
2024-09,BISHAN,5 ROOM,04 TO 06,121.0,Improved,63.0,858000.0,44.10954355,Central,5
2024-02,BUKIT MERAH,4 ROOM,19 TO 21,93.0,Model A,93.92,925000.0,43.02773375,Central,20
2023-01,CENTRAL AREA,3 ROOM,07 TO 09,56.0,Standard,50.08,420000.0,54.35659338,Central,8
2023-06,CENTRAL AREA,3 ROOM,10 TO 12,56.0,Standard,49.67,380000.0,54.35659338,Central,11
2022-04,TOA PAYOH,4 ROOM,10 TO 12,102.0,Model A,74.42,700888.0,46.20687135,Central,11
2021-03,BUKIT MERAH,5 ROOM,01 TO 03,115.0,Improved,78.92,800000.0,49.97527435,Central,2
2019-01,TOA PAYOH,4 ROOM,10 TO 12,109.0,Model A,64.83,615000.0,52.39568105,Central,11
2024-11,BISHAN,4 ROOM,04 TO 06,92.0,New Generation,59.58,715000.0,53.48333674,Central,5
2021-01,CENTRAL AREA,5 ROOM,16 TO 18,105.0,Improved,81.17,665000.0,53.45955766,Central,17
2018-11,QUEENSTOWN,3 ROOM,22 TO 24,65.0,Improved,55.17,385000.0,44.86230198,Central,23
2023-07,TOA PAYOH,4 ROOM,04 TO 06,82.0,Improved,51.92,468000.0,41.80433455,Central,5
2021-01,KALLANG/WHAMPOA,5 ROOM,10 TO 12,119.0,Standard,54.83,500000.0,47.82233292,Central,11
2021-11,QUEENSTOWN,5 ROOM,13 TO 15,110.0,Improved,79.58,870000.0,47.717416,Central,14
2017-11,BISHAN,4 ROOM,01 TO 03,84.0,Simplified,68.17,580000.0,48.07670105,Central,2
2021-07,BUKIT MERAH,5 ROOM,25 TO 27,110.0,Improved,80.42,860000.0,43.717416,Central,26
2022-03,TOA PAYOH,3 ROOM,04 TO 06,74.0,Model A,61.42,465000.0,50.48676367,Central,5
2021-01,TOA PAYOH,5 ROOM,01 TO 03,143.0,Model A,62.33,720888.0,45.25005792,Central,2
2022-01,TOA PAYOH,3 ROOM,01 TO 03,66.0,Improved,46.5,306000.0,40.82777766,Central,2
2018-12,BUKIT MERAH,4 ROOM,16 TO 18,93.0,Model A,93.17,765000.0,42.95351307,Central,17
2018-11,BISHAN,4 ROOM,07 TO 09,84.0,Simplified,67.92,458000.0,42.07670105,Central,8
2017-05,BISHAN,5 ROOM,13 TO 15,131.0,Model A,74.17,830000.0,41.71432506,Central,14
2020-01,CENTRAL AREA,3 ROOM,10 TO 12,60.0,Improved,57.75,414000.0,54.63413191,Central,11
2017-11,QUEENSTOWN,4 ROOM,13 TO 15,82.0,Improved,58.17,538800.0,55.81917869,Central,14
2018-02,QUEENSTOWN,5 ROOM,22 TO 24,115.0,Improved,81.92,888000.0,52.96043021,Central,23
2018-09,TOA PAYOH,4 ROOM,10 TO 12,105.0,Model A,75.67,610000.0,43.34080456,Central,11
2023-06,CENTRAL AREA,3 ROOM,16 TO 18,59.0,Improved,52.67,475000.0,49.56474727,Central,17
2020-10,QUEENSTOWN,4 ROOM,37 TO 39,92.0,Model A,91.5,888000.0,44.89897257,Central,38
2021-10,BUKIT MERAH,4 ROOM,07 TO 09,91.0,New Generation,54.0,508000.0,42.29519902,Central,8
2018-08,QUEENSTOWN,3 ROOM,10 TO 12,65.0,Improved,57.0,315000.0,40.87714612,Central,11
2019-02,BUKIT MERAH,3 ROOM,25 TO 27,60.0,Model A,82.83,525000.0,42.99039118,Central,26
2024-07,BISHAN,EXECUTIVE,13 TO 15,146.0,Maisonette,66.92,1236000.0,45.5324325,Central,14
2022-04,BUKIT MERAH,4 ROOM,13 TO 15,82.0,Improved,53.0,420000.0,41.80433455,Central,14
2021-05,QUEENSTOWN,4 ROOM,25 TO 27,90.0,Model A,84.42,790000.0,46.68598262,Central,26
2022-09,KALLANG/WHAMPOA,4 ROOM,37 TO 39,93.0,Model A,94.33,945000.0,54.01288961,Central,38
2021-11,BUKIT MERAH,3 ROOM,01 TO 03,59.0,Improved,52.58,285000.0,37.535059,Central,2
2024-06,QUEENSTOWN,5 ROOM,28 TO 30,110.0,Improved,75.42,1015000.0,43.68772773,Central,29
2024-02,BUKIT MERAH,5 ROOM,04 TO 06,116.0,Improved,81.08,744000.0,41.10403552,Central,5
2018-02,BUKIT MERAH,3 ROOM,01 TO 03,54.0,Standard,50.92,295000.0,46.18813584,Central,2
2022-01,BUKIT MERAH,3 ROOM,16 TO 18,65.0,Improved,60.0,380000.0,43.98105507,Central,17
2021-06,BISHAN,5 ROOM,13 TO 15,121.0,Improved,66.17,760000.0,44.10954355,Central,14
2019-07,CENTRAL AREA,3 ROOM,13 TO 15,65.0,Improved,61.08,355000.0,53.9513668,Central,14
2020-01,BISHAN,5 ROOM,04 TO 06,123.0,Improved,69.08,690000.0,48.24831281,Central,5
2024-04,TOA PAYOH,3 ROOM,01 TO 03,67.0,New Generation,59.58,420000.0,44.1049802,Central,2
2020-09,BUKIT MERAH,4 ROOM,19 TO 21,100.0,Model A,84.08,820000.0,49.21654345,Central,20
2018-02,BUKIT MERAH,5 ROOM,04 TO 06,115.0,Improved,83.25,585000.0,40.99011848,Central,5
2018-05,BUKIT MERAH,3 ROOM,16 TO 18,67.0,Premium Apartment,94.33,600000.0,45.53546016,Central,17
2023-02,QUEENSTOWN,4 ROOM,01 TO 03,103.0,Model A,72.5,735000.0,47.24656771,Central,2
2021-01,KALLANG/WHAMPOA,4 ROOM,19 TO 21,90.0,Model A,81.17,740000.0,53.64145021,Central,20
2019-07,TOA PAYOH,3 ROOM,07 TO 09,76.0,Improved,53.17,320000.0,50.43255917,Central,8
2018-11,TOA PAYOH,4 ROOM,22 TO 24,91.0,Model A,89.42,791000.0,53.78505553,Central,23
2021-06,BISHAN,4 ROOM,07 TO 09,114.0,Model A,70.17,718000.0,43.78713662,Central,8
2019-03,TOA PAYOH,3 ROOM,01 TO 03,67.0,Improved,52.42,310000.0,54.92685056,Central,2
2023-08,BISHAN,4 ROOM,01 TO 03,84.0,Simplified,63.33,470000.0,42.07670105,Central,2
2019-04,BUKIT MERAH,4 ROOM,22 TO 24,90.0,Model A,82.67,770000.0,44.62660607,Central,23
2021-04,TOA PAYOH,2 ROOM,10 TO 12,43.0,Standard,45.25,225000.0,39.54365797,Central,11
2024-02,BUKIT MERAH,5 ROOM,04 TO 06,110.0,Improved,76.92,860000.0,43.717416,Central,5
2019-12,BISHAN,4 ROOM,07 TO 09,90.0,Simplified,65.17,460000.0,42.38909989,Central,8
2018-07,TOA PAYOH,4 ROOM,22 TO 24,84.0,Improved,55.0,518000.0,50.88372727,Central,23
2024-09,QUEENSTOWN,3 ROOM,19 TO 21,63.0,Model A,89.5,720000.0,33.34698645,Central,20
2024-07,TOA PAYOH,3 ROOM,01 TO 03,65.0,Improved,47.0,340000.0,40.81776957,Central,2
2022-04,BUKIT MERAH,3 ROOM,01 TO 03,80.0,New Generation,56.67,400000.0,52.73978597,Central,2
2024-09,BUKIT MERAH,4 ROOM,16 TO 18,93.0,Model A,91.75,910000.0,43.01288961,Central,17
2021-03,KALLANG/WHAMPOA,4 ROOM,01 TO 03,107.0,Model A,67.25,490000.0,47.36082074,Central,2
2019-06,KALLANG/WHAMPOA,4 ROOM,07 TO 09,91.0,New Generation,62.08,540000.0,34.38426384,Central,8
2021-11,BUKIT MERAH,5 ROOM,25 TO 27,110.0,Improved,80.67,892000.0,43.73226014,Central,26
2023-07,BUKIT MERAH,3 ROOM,10 TO 12,70.0,Improved,51.92,420000.0,41.1498486,Central,11
2018-02,TOA PAYOH,3 ROOM,07 TO 09,66.0,Improved,51.5,250000.0,40.84262179,Central,8
2020-11,KALLANG/WHAMPOA,3 ROOM,01 TO 03,68.0,Improved,50.25,275888.0,49.98139106,Central,2
2023-09,KALLANG/WHAMPOA,5 ROOM,07 TO 09,120.0,Improved,57.83,795000.0,51.96593823,Central,8
2020-09,BUKIT MERAH,5 ROOM,13 TO 15,119.0,Improved,61.83,900000.0,45.92624187,Central,14
2023-05,BISHAN,3 ROOM,07 TO 09,68.0,Improved,49.5,320000.0,40.99623519,Central,8
2019-09,BUKIT MERAH,3 ROOM,19 TO 21,65.0,Improved,54.42,350000.0,40.86230198,Central,20
2020-01,QUEENSTOWN,5 ROOM,10 TO 12,125.0,Improved,76.83,918000.0,48.46130276,Central,11
2023-10,TOA PAYOH,4 ROOM,28 TO 30,91.0,Model A,84.5,958000.0,48.78505553,Central,29
2022-09,BISHAN,5 ROOM,07 TO 09,121.0,Improved,63.67,895000.0,50.09469941,Central,8
2019-09,BISHAN,4 ROOM,07 TO 09,105.0,Model A,65.33,620000.0,49.20720733,Central,8
2018-09,TOA PAYOH,3 ROOM,07 TO 09,65.0,Improved,52.92,279000.0,40.81776957,Central,8
2019-08,KALLANG/WHAMPOA,4 ROOM,07 TO 09,91.0,Improved,53.42,370000.0,42.26551075,Central,8
2018-04,BISHAN,4 ROOM,04 TO 06,95.0,DBSS,92.42,702000.0,43.03290578,Central,5
2024-04,BISHAN,4 ROOM,07 TO 09,84.0,Simplified,62.75,638000.0,42.07670105,Central,8
2019-06,CENTRAL AREA,3 ROOM,07 TO 09,70.0,Improved,56.67,475000.0,50.16469273,Central,8
2022-05,KALLANG/WHAMPOA,5 ROOM,04 TO 06,124.0,Improved,66.08,730000.0,48.28800917,Central,5
2017-08,BUKIT MERAH,3 ROOM,07 TO 09,63.0,Standard,51.42,298888.0,40.6790003,Central,8
2020-01,QUEENSTOWN,3 ROOM,01 TO 03,65.0,Improved,53.33,338888.0,44.84745784,Central,2
2020-06,QUEENSTOWN,4 ROOM,16 TO 18,90.0,Model A,85.42,710000.0,46.68598262,Central,17
2022-05,BUKIT MERAH,4 ROOM,28 TO 30,90.0,Model A,79.67,888000.0,44.64145021,Central,29
2017-04,BUKIT TIMAH,EXECUTIVE,10 TO 12,146.0,Maisonette,71.25,968888.0,51.48790009,Central,11
2023-08,KALLANG/WHAMPOA,3 ROOM,16 TO 18,65.0,Improved,49.67,350000.0,40.84745784,Central,17
2021-06,BISHAN,EXECUTIVE,01 TO 03,149.0,Maisonette,70.17,918000.0,42.69605399,Central,2
2024-04,BUKIT MERAH,3 ROOM,16 TO 18,68.0,Model A,93.75,695000.0,41.66422134,Central,17
2017-11,TOA PAYOH,3 ROOM,07 TO 09,74.0,Model A,65.42,400000.0,55.48676367,Central,8
2024-03,BUKIT MERAH,4 ROOM,22 TO 24,93.0,Model A,93.83,910000.0,43.02773375,Central,23
2017-08,QUEENSTOWN,3 ROOM,19 TO 21,65.0,Improved,56.42,410000.0,44.86230198,Central,20
2020-10,BUKIT MERAH,4 ROOM,13 TO 15,100.0,Model A,85.25,785000.0,55.24623172,Central,14
2024-06,KALLANG/WHAMPOA,4 ROOM,16 TO 18,92.0,Model A,95.0,1060000.0,47.00288152,Central,17
2024-04,TOA PAYOH,4 ROOM,01 TO 03,100.0,Model A,72.92,650000.0,47.11263449,Central,2
2019-01,BISHAN,EXECUTIVE,10 TO 12,146.0,Maisonette,67.08,950000.0,51.45821182,Central,11
2021-11,BISHAN,4 ROOM,07 TO 09,104.0,Model A,63.33,650000.0,45.15266684,Central,8
2018-05,QUEENSTOWN,4 ROOM,01 TO 03,95.0,Model A,83.0,620000.0,46.89930856,Central,2
2024-03,KALLANG/WHAMPOA,4 ROOM,10 TO 12,92.0,Model A,95.17,1000000.0,47.00288152,Central,11
2022-05,KALLANG/WHAMPOA,3 ROOM,13 TO 15,67.0,Model A,94.58,538000.0,41.59483671,Central,14
2019-01,BISHAN,4 ROOM,01 TO 03,105.0,Model A,72.5,568000.0,40.29627215,Central,2
2021-05,KALLANG/WHAMPOA,4 ROOM,16 TO 18,103.0,Model A,61.75,540000.0,43.06843807,Central,17
2022-07,BUKIT MERAH,3 ROOM,04 TO 06,67.0,New Generation,55.58,330000.0,38.03075952,Central,5
2018-02,QUEENSTOWN,3 ROOM,01 TO 03,58.0,Standard,48.0,298000.0,32.36176541,Central,2
2017-11,TOA PAYOH,3 ROOM,01 TO 03,67.0,Improved,53.67,315000.0,54.92685056,Central,2
2019-08,KALLANG/WHAMPOA,5 ROOM,13 TO 15,126.0,Improved,76.25,770000.0,60.50099912,Central,14
2021-01,BISHAN,4 ROOM,07 TO 09,88.0,Simplified,66.33,550000.0,44.30970717,Central,8
2020-06,BUKIT MERAH,3 ROOM,10 TO 12,76.0,Improved,54.0,360000.0,38.46224744,Central,11
2024-07,KALLANG/WHAMPOA,3 ROOM,04 TO 06,65.0,Improved,49.08,365000.0,44.84745784,Central,5
2024-08,TOA PAYOH,4 ROOM,19 TO 21,93.0,Model A,94.42,958000.0,46.04257788,Central,20
2024-06,BISHAN,5 ROOM,28 TO 30,120.0,DBSS,86.25,1538000.0,44.39641819,Central,29
2018-03,QUEENSTOWN,4 ROOM,19 TO 21,92.0,Model A,94.08,730000.0,44.89897257,Central,20
2021-07,BISHAN,4 ROOM,10 TO 12,103.0,Model A,67.67,578888.0,45.15750289,Central,11
2017-03,BUKIT MERAH,2 ROOM,01 TO 03,49.0,Standard,51.33,260000.0,53.90058922,Central,2
2018-02,QUEENSTOWN,4 ROOM,22 TO 24,92.0,Model A,94.17,725000.0,44.89897257,Central,23
2020-07,TOA PAYOH,3 ROOM,01 TO 03,65.0,Improved,52.0,240000.0,49.83261371,Central,2
2019-07,KALLANG/WHAMPOA,4 ROOM,04 TO 06,107.0,Model A,74.33,520000.0,43.43504142,Central,5
2019-09,BISHAN,EXECUTIVE,10 TO 12,151.0,Maisonette,71.83,830000.0,42.80513498,Central,11
2022-02,TOA PAYOH,3 ROOM,10 TO 12,67.0,New Generation,61.75,350888.0,41.1049802,Central,11
2022-07,QUEENSTOWN,3 ROOM,10 TO 12,65.0,Improved,50.92,408000.0,49.84745784,Central,11
2017-02,BISHAN,5 ROOM,07 TO 09,136.0,Model A,74.5,680000.0,44.98702754,Central,8
2021-05,KALLANG/WHAMPOA,4 ROOM,19 TO 21,93.0,Model A,95.5,720000.0,43.01288961,Central,20
2018-02,QUEENSTOWN,3 ROOM,10 TO 12,59.0,Standard,51.33,268000.0,32.46083832,Central,11
2022-03,BISHAN,4 ROOM,07 TO 09,103.0,Model A,64.67,605000.0,43.11297048,Central,8
2022-04,BUKIT MERAH,3 ROOM,10 TO 12,60.0,Standard,44.17,320000.0,40.4708464,Central,11
2020-06,TOA PAYOH,4 ROOM,22 TO 24,92.0,Model A,84.75,760000.0,53.79506361,Central,23
2022-05,BUKIT MERAH,3 ROOM,04 TO 06,54.0,Standard,46.75,315000.0,40.18813584,Central,5
2019-09,TOA PAYOH,5 ROOM,28 TO 30,124.0,Improved,81.33,875000.0,53.48098295,Central,29
2019-06,BISHAN,4 ROOM,01 TO 03,105.0,Model A,72.17,448000.0,40.29627215,Central,2
2021-09,CENTRAL AREA,4 ROOM,04 TO 06,111.0,Model A,62.75,618000.0,52.51960617,Central,5
2023-01,BUKIT MERAH,5 ROOM,04 TO 06,131.0,Improved,72.83,918000.0,51.7737016,Central,5
2022-03,BUKIT MERAH,3 ROOM,04 TO 06,59.0,Improved,53.25,305000.0,40.54990314,Central,5
2021-01,QUEENSTOWN,4 ROOM,01 TO 03,96.0,Model A,78.83,680000.0,42.92416078,Central,2
2019-06,BUKIT MERAH,3 ROOM,01 TO 03,88.0,Standard,52.58,638000.0,42.08704512,Central,2
2020-12,KALLANG/WHAMPOA,2 ROOM,01 TO 03,48.0,Standard,48.5,275000.0,43.86089286,Central,2
2020-02,BUKIT MERAH,3 ROOM,07 TO 09,59.0,Improved,62.5,292000.0,40.65381209,Central,8
2021-08,QUEENSTOWN,4 ROOM,13 TO 15,90.0,Model A,86.08,730000.0,54.71567089,Central,14
2017-11,BISHAN,3 ROOM,04 TO 06,64.0,Simplified,67.0,368000.0,46.95620285,Central,5
2023-09,CENTRAL AREA,4 ROOM,16 TO 18,77.0,Improved,49.92,520000.0,47.5019438,Central,17
2021-04,KALLANG/WHAMPOA,3 ROOM,04 TO 06,65.0,Improved,52.92,300000.0,44.86230198,Central,5
2019-11,QUEENSTOWN,3 ROOM,07 TO 09,63.0,Model A,94.25,550000.0,33.34698645,Central,8
2017-05,BUKIT MERAH,3 ROOM,01 TO 03,76.0,Improved,56.92,330000.0,38.46224744,Central,2
2021-11,CENTRAL AREA,4 ROOM,46 TO 48,93.0,Type S1,88.25,1120000.0,54.92382479,Central,47
2017-06,BUKIT MERAH,4 ROOM,01 TO 03,100.0,Model A,87.33,680000.0,49.21654345,Central,2
2021-09,TOA PAYOH,4 ROOM,13 TO 15,82.0,Improved,53.58,338000.0,38.80433455,Central,14
2021-06,BUKIT MERAH,3 ROOM,04 TO 06,69.0,New Generation,60.75,350000.0,41.19921706,Central,5
2017-05,BISHAN,4 ROOM,01 TO 03,84.0,Simplified,70.67,385000.0,39.10638932,Central,2
2021-03,QUEENSTOWN,4 ROOM,10 TO 12,109.0,Premium Apartment Loft,94.08,900000.0,35.87069342,Central,11
2017-06,BISHAN,4 ROOM,07 TO 09,84.0,Simplified,67.58,526500.0,42.06185691,Central,8
2024-06,KALLANG/WHAMPOA,3 ROOM,04 TO 06,59.0,Improved,53.75,370000.0,32.59443555,Central,5
2018-06,KALLANG/WHAMPOA,3 ROOM,01 TO 03,53.0,Standard,51.58,220000.0,40.14843948,Central,2
2022-06,BUKIT MERAH,4 ROOM,10 TO 12,84.0,Simplified,63.17,600000.0,42.06185691,Central,11
2024-04,BUKIT MERAH,4 ROOM,22 TO 24,93.0,Model A,93.75,918888.0,43.02773375,Central,23
2019-09,QUEENSTOWN,3 ROOM,07 TO 09,69.0,Standard,48.33,275000.0,32.99139914,Central,8
2017-10,QUEENSTOWN,3 ROOM,04 TO 06,55.0,Standard,51.67,280000.0,32.24267633,Central,5
2021-11,BUKIT MERAH,3 ROOM,01 TO 03,67.0,New Generation,56.17,308888.0,38.03075952,Central,2
2017-09,BISHAN,4 ROOM,01 TO 03,88.0,Simplified,69.58,566000.0,44.30970717,Central,2
2020-01,KALLANG/WHAMPOA,5 ROOM,10 TO 12,131.0,Improved,65.0,750000.0,44.62526024,Central,11
2019-10,TOA PAYOH,4 ROOM,10 TO 12,84.0,Improved,53.75,450000.0,50.88372727,Central,11
2018-07,BISHAN,4 ROOM,07 TO 09,83.0,Simplified,68.25,525000.0,42.02216055,Central,8
2023-04,KALLANG/WHAMPOA,4 ROOM,13 TO 15,84.0,Simplified,63.08,580000.0,49.07670105,Central,14
2024-02,KALLANG/WHAMPOA,4 ROOM,10 TO 12,94.0,New Generation,56.17,575000.0,44.53304119,Central,11
2019-07,BUKIT MERAH,4 ROOM,10 TO 12,91.0,Model A,82.5,668000.0,48.69599071,Central,11
2019-11,QUEENSTOWN,3 ROOM,07 TO 09,72.0,Improved,49.67,338000.0,47.16986477,Central,8
2017-11,QUEENSTOWN,3 ROOM,10 TO 12,65.0,Improved,57.67,368000.0,40.87714612,Central,11
2021-02,QUEENSTOWN,4 ROOM,10 TO 12,83.0,Premium Apartment,94.5,825000.0,46.45264051,Central,11
2021-08,KALLANG/WHAMPOA,5 ROOM,04 TO 06,115.0,Improved,59.08,708000.0,54.67839161,Central,5
2018-09,BISHAN,4 ROOM,01 TO 03,84.0,Simplified,65.75,470000.0,48.04701277,Central,2
